id,game_id,drive_id,play_number,period,clock,offense,defense,offense_score,defense_score,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa,wallclock
401643780101854701,401643780,4016437801,2,1,14:52,UAB,UL Monroe,0,0,84,1,10,0,Pass Incompletion,Jacob Zeno pass incomplete,-0.46182849902011913,2024-09-07T23:46:01.000Z
401643780101854801,401643780,4016437801,3,1,14:51,UAB,UL Monroe,0,0,84,2,10,-4,Penalty,"(14:51) BEEBE JR., Lee rush to the right for a gain of 4 yards to the UAB20 (VIGERS, Car'lin;WELLS, Kevontay), clock 14:46. PENALTY UAB Holding on YATES, Quez enforced half the distance from the goal, 8 yards from the UAB16 to the UAB8 [NHSG]. NO PLAY (replay the down).",,2024-09-07T23:46:01.000Z
401643780101856301,401643780,4016437801,4,1,14:36,UAB,UL Monroe,0,0,92,2,18,2,Rush,Jacob Zeno run for 2 yds to the UAB 10,-0.0323119288838587,2024-09-07T23:46:01.000Z
401643780101864201,401643780,4016437801,5,1,13:57,UAB,UL Monroe,0,0,90,3,16,0,Pass Incompletion,Jacob Zeno pass incomplete,-0.03020191951034066,2024-09-07T23:46:01.000Z
401643780101865001,401643780,4016437801,6,1,13:49,UAB,UL Monroe,0,0,90,4,16,13,Punt,"Patrick Foley punt for 35 yds , Davon Wells returns for 13 yds to the UAB 32",,2024-09-07T23:46:01.000Z
401643780101849903,401643780,4016437801,1,1,15:00,UL Monroe,UAB,0,0,65,0,0,16,Kickoff,"Max Larson kickoff for 65 yds , Brandon Buckhaulter return for 16 yds to the UAB 16",,2024-09-07T23:04:00.000Z
401643780101866001,401643780,4016437802,2,1,13:39,UL Monroe,UAB,0,0,32,1,10,2,Rush,James Jones run for 2 yds to the UAB 30,-0.3235476292174476,2024-09-07T23:46:01.000Z
401643780101869701,401643780,4016437802,3,1,13:02,UL Monroe,UAB,0,0,30,2,8,9,Rush,James Jones run for 9 yds to the UAB 21 for a 1ST down,0.562770241010917,2024-09-07T23:09:54.000Z
401643780101877201,401643780,4016437802,4,1,12:27,UL Monroe,UAB,0,0,21,1,10,6,Rush,James Jones run for 6 yds to the UAB 15,0.187709370950086,2024-09-07T23:46:01.000Z
401643780101884301,401643780,4016437802,5,1,11:56,UL Monroe,UAB,0,0,15,2,4,1,Rush,Ahmad Hardy run for 1 yd to the UAB 14,-0.344611520221274,2024-09-07T23:46:01.000Z
