id,game_id,drive_id,play_number,period,clock,offense,defense,offense_score,defense_score,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa,wallclock
401636388101849910,401636388,4016363881,2,1,15:00,Lane College,Jackson State,0,0,75,1,10,-1,Rush,Anthony Evelyn run for a loss of 1 yard to the LAC 24,-0.8014893508157099,2024-09-07T23:00:11.000Z
401636388101849907,401636388,4016363881,1,1,15:00,Jackson State,Lane College,0,0,65,0,0,0,Kickoff,Jalen Ballard kickoff for 65 yds for a touchback,,2024-09-07T23:00:11.000Z
401636388101866001,401636388,4016363881,3,1,13:39,Lane College,Jackson State,0,0,80,3,15,0,Timeout,"Timeout Lane College, clock 13:39",,2024-09-07T23:03:38.000Z
401636388101866004,401636388,4016363881,6,1,13:39,Lane College,Jackson State,0,0,80,4,15,5,Penalty,"Jackson State Penalty, Offsides (5 Yards) to the LAC 25",,2024-09-07T23:04:44.000Z
401636388101866005,401636388,4016363881,7,1,13:39,Lane College,Jackson State,0,0,75,4,10,-5,Penalty,"Lane College Penalty, False Start (Anthony Evelyn) to the LAC 20",,2024-09-07T23:04:44.000Z
401636388101866003,401636388,4016363881,5,1,13:39,Lane College,Jackson State,0,0,80,3,15,0,Pass Incompletion,NyJal Johnson pass incomplete,-0.06579665004736057,2024-09-07T23:04:44.000Z
401636388101866002,401636388,4016363881,4,1,13:39,Lane College,Jackson State,0,0,76,2,11,-4,Rush,Kylan Duhe run for a loss of 4 yards to the LAC 20,-0.4146231236810012,2024-09-07T23:04:44.000Z
401636388101867201,401636388,4016363881,8,1,13:27,Lane College,Jackson State,0,0,80,4,15,0,Blocked Punt,"punt blocked by blocked by , returns for no gain to the LAC 20",,2024-09-07T23:08:41.000Z
401636388101867901,401636388,4016363882,1,1,13:20,Jackson State,Lane College,7,0,20,1,10,20,Rushing Touchdown,Cam'Ron McCoy run for 20 yds for a TD (Gerardo Baeza KICK),2.617927729031699,2024-09-07T23:09:11.000Z
401636388101868401,401636388,4016363883,1,1,13:15,Jackson State,Lane College,7,0,65,0,0,7,Kickoff,"Jalen Ballard kickoff for 54 yds , Anthony Evelyn return for 7 yds to the LAC 18",,2024-09-07T23:12:14.000Z
401636388101868403,401636388,4016363883,2,1,13:15,Lane College,Jackson State,0,7,82,1,10,3,Rush,Ike Brown run for 3 yds to the LAC 21,-0.2150808966639328,2024-09-07T23:12:14.000Z
401636388101868404,401636388,4016363883,3,1,13:15,Lane College,Jackson State,0,7,79,2,7,1,Rush,Ike Brown run for 1 yd to the LAC 22,-0.3318017561085087,2024-09-07T23:12:14.000Z
401636388101868405,401636388,4016363883,4,1,13:15,Lane College,Jackson State,0,7,78,3,6,0,Rush,NyJal Johnson run for no gain to the LAC 22,-0.21196313944530587,2024-09-07T23:12:14.000Z
401636388101888301,401636388,4016363883,5,1,11:16,Lane College,Jackson State,0,7,78,4,6,0,Punt,"Marcelo Ortiz punt for 29 yds, downed at the JKST 49",,2024-09-07T23:15:31.000Z
401636388101888303,401636388,4016363884,1,1,11:16,Jackson State,Lane College,7,0,51,1,10,42,Pass Reception,Cam'Ron McCoy pass complete to Marvin Landy for 42 yds to the LAC 9 for a 1ST down,1.499129380246471,2024-09-07T23:15:59.000Z
401636388101888304,401636388,4016363884,2,1,11:16,Jackson State,Lane College,7,0,9,1,9,5,Rush,Ahmad Miller run for 5 yds to the LAC 4,0.0903475831985075,2024-09-07T23:15:59.000Z
401636388101888305,401636388,4016363884,3,1,11:16,Jackson State,Lane College,7,0,4,2,4,3,Rush,Ahmad Miller run for 3 yds to the LAC 1,-0.1201079887315895,2024-09-07T23:15:59.000Z
401636388101908201,401636388,4016363884,4,1,9:17,Jackson State,Lane College,14,0,1,3,1,1,Passing Touchdown,Cam'Ron McCoy pass complete to Marvin Landy for 1 yd for a TD (Gerardo Baeza KICK),2.45399822917955,2024-09-07T23:21:38.000Z
401636388101908203,401636388,4016363885,1,1,9:17,Jackson State,Lane College,14,0,65,0,0,0,Kickoff,Jalen Ballard kickoff for 65 yds for a touchback,,2024-09-07T23:21:38.000Z
401636388101908205,401636388,4016363885,2,1,9:17,Lane College,Jackson State,0,14,75,1,10,0,Pass Incompletion,NyJal Johnson pass incomplete,-0.7029700220436519,2024-09-07T23:21:38.000Z
401636388101908206,401636388,4016363885,3,1,9:17,Lane College,Jackson State,0,14,75,2,10,0,Pass Incompletion,NyJal Johnson pass incomplete,-0.34710487712173865,2024-09-07T23:21:38.000Z
401636388101908207,401636388,4016363885,4,1,9:17,Lane College,Jackson State,0,14,75,3,10,-5,Fumble Recovery (Own),"NyJal Johnson sacked for a loss of 5 yards to the LAC 20 NyJal Johnson fumbled, recovered by LAC Kylan Duhe , return for 0 yards",-0.23183422537868115,2024-09-07T23:25:19.000Z
401636388101919101,401636388,4016363885,5,1,8:08,Lane College,Jackson State,0,14,80,4,15,0,Punt,"Marcelo Ortiz punt for 20 yds, fair catch by Rico Powers Jr. at the LAC 40",,2024-09-07T23:26:36.000Z
401636388101919103,401636388,4016363886,1,1,8:08,Jackson State,Lane College,14,0,40,1,10,17,Rush,Rico Powers Jr. run for 17 yds to the LAC 23 for a 1ST down,0.5250714658661125,2024-09-07T23:27:11.000Z
401636388101919104,401636388,4016363886,2,1,8:08,Jackson State,Lane College,14,0,23,1,10,4,Rush,Cam'Ron McCoy run for 4 yds to the LAC 19,-0.0314047953383095,2024-09-07T23:27:11.000Z
401636388101919105,401636388,4016363886,3,1,8:08,Jackson State,Lane College,14,0,19,2,6,13,Pass Reception,Cam'Ron McCoy pass complete to Isaiah Spencer for 13 yds to the LAC 6 for a 1ST down,0.642892702344261,2024-09-07T23:27:11.000Z
401636388101919106,401636388,4016363886,4,1,8:08,Jackson State,Lane College,14,0,6,1,6,0,Pass Incompletion,Cam'Ron McCoy pass incomplete,-0.476177221716661,2024-09-07T23:27:11.000Z
401636388101938101,401636388,4016363886,5,1,6:18,Jackson State,Lane College,21,0,6,2,6,6,Rushing Touchdown,Ahmad Miller run for 6 yds for a TD (Gerardo Baeza KICK),2.528666992781938,2024-09-07T23:29:09.000Z
401636388101938802,401636388,4016363887,2,1,6:11,Jackson State,Lane College,21,0,65,0,0,30,Kickoff,"Jalen Ballard kickoff for 64 yds , Anthony Evelyn return for 30 yds to the LAC 31",,2024-09-07T23:32:35.000Z
401636388101938801,401636388,4016363887,1,1,6:11,Lane College,Jackson State,0,21,69,1,10,-5,Penalty,"Lane College Penalty, False Start (-5 Yards) to the LAC 26",,2024-09-07T23:32:35.000Z
401636388101938804,401636388,4016363887,3,1,6:11,Lane College,Jackson State,0,21,74,1,15,0,Pass Reception,NyJal Johnson pass complete to Anthony Evelyn for no gain to the LAC 26,-0.4614176167751234,2024-09-07T23:32:35.000Z
401636388101938805,401636388,4016363887,4,1,6:11,Lane College,Jackson State,0,21,74,2,15,-3,Sack,NyJal Johnson sacked by Robert McDaniel and Tymon Wells for a loss of 3 yards to the LAC 23,-0.2944237232686193,2024-09-07T23:34:39.000Z
401636388101938806,401636388,4016363887,5,1,6:11,Lane College,Jackson State,0,21,77,3,18,-10,Sack,NyJal Johnson sacked by Tymon Wells and Reid Pulliam for a loss of 10 yards to the LAC 13,-0.09733298270210611,2024-09-07T23:34:39.000Z
401636388101966301,401636388,4016363887,6,1,3:36,Lane College,Jackson State,0,21,87,4,28,19,Punt,"Marcelo Ortiz punt for 32 yds , Rico Powers Jr. returns for 19 yds to the LAC 26",,2024-09-07T23:36:58.000Z
401636388101966303,401636388,4016363888,1,1,3:36,Jackson State,Lane College,21,0,26,1,10,-4,Rush,Ahmad Miller run for a loss of 4 yards to the LAC 30,-0.994454147965806,2024-09-07T23:36:58.000Z
401636388101966304,401636388,4016363888,2,1,3:36,Jackson State,Lane College,21,0,30,2,14,0,Pass Incompletion,Cam'Ron McCoy pass incomplete,-0.8616811446017945,2024-09-07T23:36:58.000Z
401636388101966305,401636388,4016363888,3,1,3:36,Jackson State,Lane College,21,0,30,3,14,2,Rush,Cam'Ron McCoy run for 2 yds to the LAC 28,-0.587085528035546,2024-09-07T23:38:29.000Z
401636388101979301,401636388,4016363888,4,1,2:06,Jackson State,Lane College,24,0,28,4,12,38,Field Goal Good,Gerardo Baeza 38 yd FG GOOD,,2024-09-07T23:39:33.000Z
401636388101979901,401636388,4016363889,1,1,2:00,Jackson State,Lane College,24,0,65,0,0,25,Kickoff,"Jalen Ballard kickoff for 62 yds , Rashad Wilson return for 25 yds to the LAC 28",,2024-09-07T23:41:35.000Z
401636388101979903,401636388,4016363889,2,1,2:00,Lane College,Jackson State,0,24,72,1,10,0,Pass Incompletion,NyJal Johnson pass incomplete,-0.7982008475508557,2024-09-07T23:41:35.000Z
401636388101979904,401636388,4016363889,3,1,2:00,Lane College,Jackson State,0,24,72,2,10,3,Rush,Kylan Duhe run for 3 yds to the LAC 31,-0.1804583111449043,2024-09-07T23:41:35.000Z
401636388101979905,401636388,4016363889,4,1,2:00,Lane College,Jackson State,0,24,69,3,7,0,Pass Incompletion,NyJal Johnson pass incomplete,-0.31775373805896123,2024-09-07T23:41:35.000Z
401636388101994501,401636388,4016363889,5,1,0:54,Lane College,Jackson State,0,24,69,4,7,0,Punt,"Marcelo Ortiz punt for 34 yds, downed at the JKST 35",,2024-09-07T23:44:36.000Z
401636388101999903,401636388,40163638810,4,1,0:00,Jackson State,Lane College,31,0,3,0,0,3,End Period,End of 1st Quarter,,2024-09-07T23:46:20.000Z
401636388101994503,401636388,40163638810,1,1,0:54,Jackson State,Lane College,24,0,65,1,10,5,Rush,Nate Blount IV run for 5 yds to the JKST 40,0.1088137823196469,2024-09-07T23:44:36.000Z
401636388101994504,401636388,40163638810,2,1,0:54,Jackson State,Lane College,24,0,60,2,5,0,Pass Incompletion,Cam'Ron McCoy pass incomplete,-1.0644407341429556,2024-09-07T23:44:36.000Z
401636388101999901,401636388,40163638810,3,1,0:00,Jackson State,Lane College,31,0,60,3,5,60,Rushing Touchdown,Cam'Ron McCoy run for 60 yds for a TD (Gerardo Baeza KICK),6.1983439625146435,2024-09-07T23:46:20.000Z
401636388102849903,401636388,40163638811,1,2,15:00,Jackson State,Lane College,31,0,65,0,0,0,Kickoff,Jalen Ballard kickoff for 65 yds for a touchback,,2024-09-07T23:50:00.000Z
401636388102849908,401636388,40163638811,3,2,15:00,Lane College,Jackson State,0,31,73,2,8,-3,Pass Reception,NyJal Johnson pass complete to Ike Brown for a loss of 3 yards to the LAC 24,-0.6431601783524501,2024-09-07T23:50:00.000Z
401636388102849906,401636388,40163638811,2,2,15:00,Lane College,Jackson State,0,31,75,1,10,2,Rush,Kylan Duhe run for 2 yds to the LAC 27,-0.45260367932203766,2024-09-07T23:50:00.000Z
401636388102849911,401636388,40163638811,4,2,15:00,Lane College,Jackson State,0,31,76,3,11,-5,Penalty,"Lane College Penalty, Delay Of Game (NyJal Johnson) to the LAC 19",,2024-09-07T23:50:00.000Z
401636388102849913,401636388,40163638811,5,2,15:00,Lane College,Jackson State,0,31,81,3,16,0,Pass Incompletion,NyJal Johnson pass incomplete,-0.05507996837621664,2024-09-07T23:50:00.000Z
401636388102875401,401636388,40163638811,6,2,12:45,Lane College,Jackson State,0,31,81,4,16,8,Punt,"Marcelo Ortiz punt for 34 yds , Rico Powers Jr. returns for 8 yds to the LAC 45",,2024-09-07T23:54:26.000Z
401636388102875403,401636388,40163638812,1,2,12:45,Jackson State,Lane College,31,0,45,1,10,1,Rush,Ahmad Miller run for 1 yd to the LAC 44,-0.7709607025343227,2024-09-07T23:54:26.000Z
401636388102875404,401636388,40163638812,2,2,12:45,Jackson State,Lane College,31,0,44,2,9,16,Pass Reception,Cam'Ron McCoy pass complete to Isaiah Spencer for 16 yds to the LAC 28 for a 1ST down,1.4834603134629596,2024-09-07T23:55:12.000Z
401636388102885701,401636388,40163638812,3,2,11:42,Jackson State,Lane College,38,0,28,1,10,28,Passing Touchdown,Cam'Ron McCoy pass complete to Joanes Fortilien for 28 yds for a TD (Gerardo Baeza KICK),2.764014474138431,2024-09-07T23:56:09.000Z
401636388102886401,401636388,40163638813,1,2,11:35,Jackson State,Lane College,38,0,65,0,0,23,Kickoff,"Jalen Ballard kickoff for 56 yds , Anthony Evelyn return for 23 yds to the LAC 32",,2024-09-08T00:00:04.000Z
401636388102886404,401636388,40163638813,2,2,11:35,Lane College,Jackson State,0,38,68,1,10,15,Penalty,"JOHNSON, NyJal pass short up the middle incomplete intended for EVELYN, Anthony thrown to the LAN37. PENALTY JSU Personal Foul on WELLS, Tymon enforced 15 yards from the LAN32 to the LAN47 and results in automatic 1ST DOWN [NHSG]. NO PLAY (replay the down).",,2024-09-08T00:00:04.000Z
401636388102888302,401636388,40163638813,4,2,11:16,Lane College,Jackson State,0,38,53,1,10,11,Pass Reception,NyJal Johnson pass complete to Kylan Duhe for 11 yds to the JKST 42 for a 1ST down,0.8003639620011836,2024-09-08T00:01:59.000Z
401636388102888303,401636388,40163638813,5,2,11:16,Lane College,Jackson State,0,38,42,1,10,5,Rush,Anthony Evelyn run for 5 yds to the JKST 37,0.0899665338824123,2024-09-08T00:01:59.000Z
