id,game_id,drive_id,play_number,period,clock,offense,defense,offense_score,defense_score,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa,wallclock
401654616101917701,401654616,4016546167,1,1,8:22,Lehigh,Wagner,14,0,6,1,6,6,Rushing Touchdown,Jaden Green run for 6 yds for a TD (Nick Garrido KICK),2.052489771065277,2024-09-07T16:23:39.000Z
401654616101849904,401654616,4016546162,1,1,15:00,Wagner,Lehigh,0,0,70,1,10,5,Pass Reception,Damien Mazil pass complete to Teree McDonald for 5 yds to the WAG 35,0.1029188553265588,2024-09-07T16:02:45.000Z
401654616101849905,401654616,4016546162,2,1,15:00,Wagner,Lehigh,0,0,65,2,5,-1,Sack,Damien Mazil sacked for a loss of 1 yard to the WAG 34,-1.0502205843111607,2024-09-07T16:02:45.000Z
401654616101849906,401654616,4016546162,3,1,15:00,Wagner,Lehigh,0,0,66,3,6,-5,Penalty,"Wagner Penalty, false start (Jaylen Bonelli) to the WAG 29",,2024-09-07T16:02:45.000Z
401654616101849907,401654616,4016546162,4,1,15:00,Wagner,Lehigh,0,0,71,3,11,-14,Penalty,"Wagner Penalty, illegal block (Justin Smith) to the WAG 15",,2024-09-07T16:02:45.000Z
401654616101849908,401654616,4016546162,5,1,15:00,Wagner,Lehigh,0,0,85,3,25,0,Pass Incompletion,pass incomplete,-0.01605491754547207,2024-09-07T16:02:45.000Z
401654616101876201,401654616,4016546162,7,1,12:37,Wagner,Lehigh,0,0,85,4,25,0,Punt,Joshua Brown punt for 39 yds,,2024-09-07T16:09:14.000Z
401654616101854501,401654616,4016546162,6,1,14:54,Lehigh,Wagner,0,0,65,1,10,26,Kickoff Return (Offense),"Connor Poole kickoff for 61 yds , Sam Martin return for 26 yds to the WAG 30",,2024-09-07T16:03:34.000Z
401654616101876203,401654616,4016546163,2,1,12:37,Lehigh,Wagner,0,0,48,2,4,-10,Sack,Dante Perri sacked for a loss of 10 yards to the LEH 42,-2.9812114399854037,2024-09-07T16:10:07.000Z
401654616101876204,401654616,4016546163,3,1,12:37,Lehigh,Wagner,0,0,58,3,14,12,Pass Reception,Dante Perri pass complete to Jaden Green for 12 yds to the WAG 46,1.1325415580909644,2024-09-07T16:10:07.000Z
401654616101876205,401654616,4016546163,4,1,12:37,Lehigh,Wagner,0,0,46,4,2,-5,Penalty,"Lehigh Penalty, false start (Aaron Crossley) to the LEH 49",,2024-09-07T16:10:07.000Z
401654616101897201,401654616,4016546163,5,1,10:27,Lehigh,Wagner,0,0,51,4,7,1,Punt,"Connor Poole punt for 35 yds , Jayden Brown returns for 1 yd to the WAG 17 Jayden Brown fumbled, recovered by LEH Mason Moore  , return for no gain to the WAG 17",,2024-09-07T16:13:14.000Z
401654616101876202,401654616,4016546163,1,1,12:37,Lehigh,Wagner,0,0,54,1,10,6,Pass Reception,Dante Perri pass complete to Mason Humphrey for 6 yds to the WAG 48,0.374950753061633,2024-09-07T16:10:07.000Z
401654616101897202,401654616,4016546164,1,1,10:27,Lehigh,Wagner,0,0,17,1,10,2,Rush,Luke Yoder run for 2 yds to the WAG 15,-0.1885388219160615,2024-09-07T16:13:14.000Z
401654616101897203,401654616,4016546164,2,1,10:27,Lehigh,Wagner,0,0,15,2,8,-1,Rush,Dante Perri run for a loss of 1 yard to the WAG 16,-0.4524264152723063,2024-09-07T16:13:14.000Z
401654616101914001,401654616,4016546164,3,1,8:59,Lehigh,Wagner,7,0,16,3,9,16,Passing Touchdown,Dante Perri pass complete to Geoffrey Jamiel for 16 yds for a TD (Nick Garrido KICK),3.2208683399727818,2024-09-07T16:17:00.000Z
401654616101917201,401654616,4016546166,3,1,8:27,Wagner,Lehigh,0,7,88,1,20,0,Interception,Damien Mazil pass intercepted,0.20635056537338325,2024-09-07T16:19:40.000Z
401654616101914502,401654616,4016546166,2,1,8:54,Wagner,Lehigh,0,7,78,1,10,-10,Penalty,"Wagner Penalty, Offensive holding (Brandon Sneh) to the WAG 12",,2024-09-07T16:19:13.000Z
401654616101914501,401654616,4016546166,1,1,8:54,Lehigh,Wagner,7,0,65,1,10,19,Kickoff Return (Offense),"John Zipf kickoff for 62 yds , Sam Martin return for 19 yds to the WAG 22",,2024-09-07T16:19:13.000Z
401654616101935401,401654616,4016546169,4,1,6:45,Wagner,Lehigh,0,14,72,3,3,0,Interception,Damien Mazil pass intercepted,-0.34730905058370354,2024-09-07T16:27:13.000Z
401654616101918202,401654616,4016546169,2,1,8:17,Wagner,Lehigh,0,14,79,1,10,1,Rush,Sekou Kamau run for 1 yd to the WAG 22,-0.4911317991443793,2024-09-07T16:25:14.000Z
401654616101918203,401654616,4016546169,3,1,8:17,Wagner,Lehigh,0,14,78,2,9,6,Rush,Sekou Kamau run for 6 yds to the WAG 28,0.16897563954523864,2024-09-07T16:25:14.000Z
