id,game_id,drive_id,play_number,period,clock,offense,defense,offense_score,defense_score,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa,wallclock
401643778101854409,401643778,4016437781,8,1,14:55,East Carolina,Old Dominion,0,0,52,1,10,4,Rush,Rahjai Harris run for 4 yds to the ODU 48,-0.1504912861657514,2024-09-07T22:05:45.000Z
401643778101854403,401643778,4016437781,2,1,14:55,East Carolina,Old Dominion,0,0,80,1,10,4,Rush,Rahjai Harris run for 4 yds to the ECU 24,-0.0884321258012219,2024-09-07T22:02:41.000Z
401643778101854404,401643778,4016437781,3,1,14:55,East Carolina,Old Dominion,0,0,76,2,6,4,Rush,Rahjai Harris run for 4 yds to the ECU 28,-0.08028538836854975,2024-09-07T22:02:41.000Z
401643778101854405,401643778,4016437781,4,1,14:55,East Carolina,Old Dominion,0,0,72,3,2,2,Rush,Jake Garcia run for 2 yds to the ECU 30 for a 1ST down,0.861988790870531,2024-09-07T22:02:41.000Z
401643778101854406,401643778,4016437781,5,1,14:55,East Carolina,Old Dominion,0,0,70,1,10,0,Pass Incompletion,Jake Garcia pass incomplete,-0.8627910327708888,2024-09-07T22:02:41.000Z
401643778101854407,401643778,4016437781,6,1,14:55,East Carolina,Old Dominion,0,0,70,2,10,-2,Rush,Rahjai Harris run for a loss of 2 yards to the ECU 28,-0.5751533723650315,2024-09-07T22:02:41.000Z
401643778101854408,401643778,4016437781,7,1,14:55,East Carolina,Old Dominion,0,0,72,3,12,20,Pass Reception,Jake Garcia pass complete to Chase Sowell for 20 yds to the ECU 48 for a 1ST down,3.1226766353298325,2024-09-07T22:05:45.000Z
401643778101885701,401643778,4016437781,12,1,11:42,East Carolina,Old Dominion,0,0,65,0,0,-15,Penalty,"CONRAD, Andrew kickoff 54 yards from the ECU35 to the ODU11, DUKE, Bryce return of 0 yards to the ODU11 nullified (PERRY, Shane;BARKER, Jackson), clock 11:42. PENALTY ECU Unnecessary Roughness enforced 15 yards after the change of possession from the ODU22 to the ODU37, from the the spot of the ball when the foul occurred. NO PLAY (replay the down).",,2024-09-07T22:12:25.000Z
401643778101854401,401643778,4016437781,1,1,14:55,Old Dominion,East Carolina,0,0,65,0,0,17,Kickoff Return (Offense),"Ethan Chang kickoff for 62 yds , Winston Wright Jr. return for 17 yds to the ECU 20",,2024-09-07T22:02:41.000Z
401643778101854410,401643778,4016437781,9,1,14:55,East Carolina,Old Dominion,0,0,48,2,6,6,Pass Reception,Jake Garcia pass complete to Winston Wright Jr. for 6 yds to the ODU 42 for a 1ST down,0.8636101033040584,2024-09-07T22:05:45.000Z
401643778101854411,401643778,4016437781,10,1,14:55,East Carolina,Old Dominion,0,0,42,1,10,20,Pass Reception,Jake Garcia pass complete to Kerry King for 20 yds to the ODU 22 for a 1ST down,0.647312704923664,2024-09-07T22:05:45.000Z
401643778101885401,401643778,4016437781,11,1,11:45,East Carolina,Old Dominion,6,0,22,1,10,22,Rushing Touchdown,Rahjai Harris run for 22 yds for a TD (Andrew Conrad PAT MISSED),2.64762276664846,2024-09-07T22:07:06.000Z
401643778101885703,401643778,4016437782,1,1,11:42,Old Dominion,East Carolina,0,6,63,1,10,2,Rush,Grant Wilson run for 2 yds to the ODU 39,-0.6556647600661254,2024-09-07T22:13:00.000Z
401643778101885704,401643778,4016437782,2,1,11:42,Old Dominion,East Carolina,0,6,61,2,8,0,Rush,Grant Wilson run for no gain to the ODU 39,-0.8373064649049704,2024-09-07T22:13:00.000Z
401643778101885705,401643778,4016437782,3,1,11:42,Old Dominion,East Carolina,0,6,61,3,8,11,Pass Reception,Grant Wilson pass complete to Myles Alston for 11 yds to the 50 yard line for a 1ST down,2.702070086427473,2024-09-07T22:13:00.000Z
401643778101885706,401643778,4016437782,4,1,11:42,Old Dominion,East Carolina,0,6,50,1,10,0,Pass Incompletion,Grant Wilson pass incomplete,-1.1143038065675126,2024-09-07T22:13:00.000Z
