id,game_id,drive_id,play_number,period,clock,offense,defense,offense_score,defense_score,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa,wallclock
401628595101849910,401628595,4016285951,3,1,15:00,North Carolina Central,Elon,0,0,80,1,15,5,Pass Reception,Walker Harris pass complete to Chauncey Spikes for 5 yds to the NCCU 25,0.03844795620599584,2024-09-07T22:02:27.000Z
401628595101849911,401628595,4016285951,4,1,15:00,North Carolina Central,Elon,0,0,75,2,10,9,Pass Reception,Walker Harris pass complete to Joaquin Davis for 9 yds to the NCCU 34,0.6799361600947043,2024-09-07T22:02:27.000Z
401628595101849912,401628595,4016285951,5,1,15:00,North Carolina Central,Elon,0,0,66,3,1,0,Rush,J'Mari Taylor run for no gain to the NCCU 34,-0.7006464561644021,2024-09-07T22:02:27.000Z
401628595101869501,401628595,4016285951,6,1,13:04,North Carolina Central,Elon,0,0,66,4,1,0,Punt,"Juan Velarde punt for 48 yds, downed at the ELON 18",,2024-09-07T22:16:04.000Z
401628595101849909,401628595,4016285951,2,1,15:00,North Carolina Central,Elon,0,0,75,1,10,-5,Penalty,"North Carolina Central Penalty, Delay Of Game (-5 Yards) to the NCCU 20",,2024-09-07T22:02:27.000Z
401628595101849907,401628595,4016285951,1,1,15:00,Elon,North Carolina Central,0,0,65,0,0,0,Kickoff,Jake Marion kickoff for 65 yds for a touchback,,2024-09-07T22:02:27.000Z
401628595101869503,401628595,4016285952,1,1,13:04,Elon,North Carolina Central,0,0,82,1,10,4,Pass Reception,Matthew Downing pass complete to Zimere Winston for 4 yds to the ELON 22,-0.07889451759108734,2024-09-07T22:16:04.000Z
401628595101869504,401628595,4016285952,2,1,13:04,Elon,North Carolina Central,0,0,78,2,6,8,Pass Reception,Matthew Downing pass complete to Jamarien Dalton for 8 yds to the ELON 30 for a 1ST down,0.8744062479795947,2024-09-07T22:16:04.000Z
401628595101869505,401628595,4016285952,3,1,13:04,Elon,North Carolina Central,0,0,70,1,10,12,Pass Reception,Matthew Downing pass complete to Onuma Dieke for 12 yds to the ELON 42 for a 1ST down,1.131083306865028,2024-09-07T22:16:04.000Z
401628595101869506,401628595,4016285952,4,1,13:04,Elon,North Carolina Central,0,0,58,1,10,-2,Rush,TJ Thomas Jr. run for a loss of 2 yards to the ELON 40,-1.5454956072472221,2024-09-07T22:16:04.000Z
401628595101869507,401628595,4016285952,5,1,13:04,Elon,North Carolina Central,0,0,60,2,12,22,Pass Reception,Matthew Downing pass complete to Jamarien Dalton for 22 yds to the NCCU 38 for a 1ST down,3.0126061707013494,2024-09-07T22:16:04.000Z
401628595101869508,401628595,4016285952,6,1,13:04,Elon,North Carolina Central,0,0,38,1,10,24,Rush,TJ Thomas Jr. run for 24 yds to the NCCU 14 for a 1ST down,0.5463094734061065,2024-09-07T22:16:04.000Z
401628595101869509,401628595,4016285952,7,1,13:04,Elon,North Carolina Central,0,0,14,1,10,-5,Penalty,"Elon Penalty, False Start (Kevin Burkett) to the NCCU 19",,2024-09-07T22:16:04.000Z
401628595101915401,401628595,4016285952,8,1,8:45,Elon,North Carolina Central,7,0,19,1,15,19,Passing Touchdown,Matthew Downing pass complete to Jamarien Dalton for 19 yds for a TD (Jack Berkowitz KICK),2.894548295019479,2024-09-07T22:16:04.000Z
401628595101915403,401628595,4016285953,1,1,8:45,Elon,North Carolina Central,7,0,65,0,65,0,Timeout,"Timeout North Carolina Central, clock 08:45",,2024-09-07T22:16:04.000Z
401628595101915404,401628595,4016285953,2,1,8:45,Elon,North Carolina Central,7,0,65,0,0,0,Kickoff,Jake Marion kickoff for 65 yds for a touchback,,2024-09-07T22:16:04.000Z
401628595101934401,401628595,4016285953,6,1,6:55,North Carolina Central,Elon,0,7,66,4,1,0,Punt,"Juan Velarde punt for 44 yds, fair catch by DJ Hamilton at the ELON 22",,2024-09-07T22:18:44.000Z
401628595101915408,401628595,4016285953,5,1,8:45,North Carolina Central,Elon,0,7,66,3,1,0,Rush,J'Mari Taylor run for no gain to the NCCU 34,-0.7006464561644021,2024-09-07T22:16:04.000Z
401628595101915407,401628595,4016285953,4,1,8:45,North Carolina Central,Elon,0,7,70,2,5,4,Pass Reception,Walker Harris pass complete to Markell Quick for 4 yds to the NCCU 34,-0.117578978482432,2024-09-07T22:16:04.000Z
401628595101915406,401628595,4016285953,3,1,8:45,North Carolina Central,Elon,0,7,75,1,10,5,Rush,J'Mari Taylor run for 5 yds to the NCCU 30,0.0945451165334843,2024-09-07T22:16:04.000Z
401628595101934417,401628595,4016285954,9,1,6:55,Elon,North Carolina Central,7,0,44,3,4,0,Pass Incompletion,Matthew Downing pass incomplete,-1.0946795124060265,2024-09-07T22:18:44.000Z
401628595101934405,401628595,4016285954,1,1,6:55,Elon,North Carolina Central,7,0,78,1,10,-5,Penalty,"THOMAS JR., TJ rush up the middle for a loss of 1 yard to the ELO21, End of Play. PENALTY Before the snap, ELO Illegal Formation on GILBERT, Zane enforced 5 yards from the ELO22 to the ELO17. NO PLAY (replay the down).",,2024-09-07T22:18:44.000Z
401628595101934410,401628595,4016285954,3,1,6:55,Elon,North Carolina Central,7,0,65,1,10,5,Penalty,"North Carolina Central Penalty, Offsides (Quantez Mansfield) to the ELON 40",,2024-09-07T22:18:44.000Z
401628595101934413,401628595,4016285954,5,1,6:55,Elon,North Carolina Central,7,0,59,2,4,-10,Penalty,"DOWNING, Matthew pass to the right complete for 7 yards to WINSTON, Zimere caught at the ELO35 and advanced to the ELO48, out of bounds. PENALTY ELO Holding on MOORE, Carlos enforced 10 yards from the ELO41 to the ELO31 [NHSG]. NO PLAY (replay the down).",,2024-09-07T22:18:44.000Z
401628595101934416,401628595,4016285954,8,1,6:55,Elon,North Carolina Central,7,0,50,2,10,6,Pass Reception,Matthew Downing pass complete to Onuma Dieke for 6 yds to the NCCU 44,0.3209798005253487,2024-09-07T22:18:44.000Z
401628595101934415,401628595,4016285954,7,1,6:55,Elon,North Carolina Central,7,0,50,1,10,0,Pass Incompletion,Matthew Downing pass incomplete,-1.1143038065675126,2024-09-07T22:18:44.000Z
401628595101934414,401628595,4016285954,6,1,6:55,Elon,North Carolina Central,7,0,69,2,14,19,Pass Reception,Matthew Downing pass complete to Jamarien Dalton for 19 yds to the 50 yard line for a 1ST down,2.949526343613691,2024-09-07T22:18:44.000Z
401628595101934411,401628595,4016285954,4,1,6:55,Elon,North Carolina Central,7,0,60,1,5,1,Rush,TJ Thomas Jr. run for 1 yd to the ELON 41,-1.144885815761672,2024-09-07T22:18:44.000Z
401628595101934409,401628595,4016285954,2,1,6:55,Elon,North Carolina Central,7,0,72,3,4,7,Pass Reception,Matthew Downing pass complete to Charlie Mill for 7 yds to the ELON 35 for a 1ST down,1.4949487551324845,2024-09-07T22:18:44.000Z
401628595101934419,401628595,4016285954,11,1,6:55,Elon,North Carolina Central,7,0,83,1,15,4,Pass Reception,Matthew Downing pass complete to TJ Thomas Jr. for 4 yds to the ELON 21,-0.04920670351181844,2024-09-07T22:18:44.000Z
401628595101934420,401628595,4016285954,12,1,6:55,Elon,North Carolina Central,7,0,79,2,11,7,Pass Reception,Matthew Downing pass complete to Jamarien Dalton for 7 yds to the ELON 28,0.23199495248117508,2024-09-07T22:18:44.000Z
401628595101988301,401628595,4016285954,13,1,1:16,Elon,North Carolina Central,7,0,44,4,4,0,Punt,Jeff Yurk punt for 44 yds for a touchback,,2024-09-07T22:30:32.000Z
401628595101934418,401628595,4016285954,10,1,6:55,Elon,North Carolina Central,7,0,83,1,15,0,Timeout,"Timeout North Carolina Central, clock 06:55",,2024-09-07T22:18:44.000Z
401628595101988302,401628595,4016285954,14,1,1:16,North Carolina Central,Elon,0,7,80,1,10,0,Timeout,"Timeout North Carolina Central, clock 01:16",,2024-09-07T22:30:41.000Z
401628595101988304,401628595,4016285955,2,1,1:16,North Carolina Central,Elon,0,7,80,1,10,39,Pass Reception,Walker Harris pass complete to Joaquin Davis for 39 yds to the ELON 41 for a 1ST down,3.1455381697085834,2024-09-07T22:30:41.000Z
401628595101999901,401628595,4016285955,4,1,0:00,North Carolina Central,Elon,0,7,46,1,15,-1,Pass Reception,Walker Harris pass complete to Darryl Taylor for a loss of 1 yard to the ELON 47,-1.2492257777357985,2024-09-07T22:35:12.000Z
401628595102849902,401628595,4016285955,6,2,15:00,North Carolina Central,Elon,0,7,47,2,16,-6,Rush,run for a loss of 6 yards to the NCCU 47,-1.5383374080423273,2024-09-07T22:39:27.000Z
401628595102849905,401628595,4016285955,7,2,15:00,North Carolina Central,Elon,0,7,53,3,22,13,Pass Reception,Walker Harris pass complete to Kyle Morgan for 13 yds to the ELON 40,1.0323331056648204,2024-09-07T22:39:27.000Z
401628595102867301,401628595,4016285955,8,2,13:26,North Carolina Central,Elon,0,7,40,4,9,0,Punt,Juan Velarde punt for 40 yds for a touchback,,2024-09-07T22:40:26.000Z
401628595101999902,401628595,4016285955,5,1,0:00,North Carolina Central,Elon,0,7,46,0,15,-1,End Period,End of 1st Quarter,,2024-09-07T22:35:12.000Z
401628595101988305,401628595,4016285955,3,1,1:16,North Carolina Central,Elon,0,7,41,1,10,-5,Penalty,"North Carolina Central Penalty, False Start (J'Mari Taylor) to the ELON 46",,2024-09-07T22:30:41.000Z
401628595101988303,401628595,4016285955,1,1,1:16,North Carolina Central,Elon,0,7,20,1,10,0,Timeout,"Timeout North Carolina Central, clock 01:16",,2024-09-07T22:30:41.000Z
401628595102867302,401628595,4016285955,9,2,13:26,Elon,North Carolina Central,7,0,80,1,10,0,Timeout,"Timeout North Carolina Central, clock 13:26",,2024-09-07T22:40:26.000Z
401628595102867313,401628595,4016285956,10,2,13:26,Elon,North Carolina Central,7,0,49,1,10,7,Pass Reception,Matthew Downing pass complete to Onuma Dieke for 7 yds to the NCCU 42,0.575042778164864,2024-09-07T22:43:01.000Z
401628595102924701,401628595,4016285956,11,2,7:52,Elon,North Carolina Central,7,0,42,2,3,41,Pass Reception,Matthew Downing pass complete to Onuma Dieke for 41 yds to the NCCU 1 for a 1ST down,2.2492664983519415,2024-09-07T22:51:18.000Z
401628595102867304,401628595,4016285956,2,2,13:26,Elon,North Carolina Central,7,0,80,1,10,4,Rush,Rushawn Baker run for 4 yds to the ELON 24,-0.0884321258012219,2024-09-07T22:43:01.000Z
401628595102867305,401628595,4016285956,3,2,13:26,Elon,North Carolina Central,7,0,76,2,6,8,Rush,Rushawn Baker run for 8 yds to the ELON 32 for a 1ST down,0.9551792057644652,2024-09-07T22:43:01.000Z
401628595102867306,401628595,4016285956,4,2,13:26,Elon,North Carolina Central,7,0,68,1,10,0,Rush,Rushawn Baker run for no gain to the ELON 32,-0.9262377870973815,2024-09-07T22:43:01.000Z
401628595102867307,401628595,4016285956,5,2,13:26,Elon,North Carolina Central,7,0,68,2,10,3,Pass Reception,Matthew Downing pass complete to Rushawn Baker for 3 yds to the ELON 35,-0.2237262939454698,2024-09-07T22:43:01.000Z
401628595102867308,401628595,4016285956,6,2,13:26,Elon,North Carolina Central,7,0,65,3,7,8,Rush,Matthew Downing run for 8 yds to the ELON 43 for a 1ST down,2.2039580991733843,2024-09-07T22:43:01.000Z
401628595102867310,401628595,4016285956,8,2,13:26,Elon,North Carolina Central,7,0,62,1,15,3,Rush,Rushawn Baker run for 3 yds to the ELON 41,-0.3430146587011854,2024-09-07T22:43:01.000Z
401628595102934001,401628595,4016285956,12,2,6:59,Elon,North Carolina Central,7,0,2,2,2,0,Timeout,"Timeout Elon, clock 06:59",,2024-09-07T22:52:50.000Z
401628595102867312,401628595,4016285956,9,2,13:26,Elon,North Carolina Central,7,0,59,2,12,10,Penalty,"DOWNING, Matthew pass deep up the middle incomplete intended for WINSTON, Zimere thrown to the NCC37. PENALTY NCC Holding on REED, Malcolm enforced 10 yards from the ELO41 to the NCC49 and results in automatic 1ST DOWN [NHSG]. NO PLAY (replay the down).",,2024-09-07T22:43:01.000Z
401628595102867309,401628595,4016285956,7,2,13:26,Elon,North Carolina Central,7,0,57,1,10,-5,Penalty,"Elon Penalty, False Start (Kevin Burkett) to the ELON 38",,2024-09-07T22:43:01.000Z
401628595102867303,401628595,4016285956,1,2,13:26,Elon,North Carolina Central,7,0,20,1,10,0,Timeout,"Timeout North Carolina Central, clock 13:26",,2024-09-07T22:40:26.000Z
401628595102934401,401628595,4016285956,14,2,6:55,Elon,North Carolina Central,14,0,2,2,2,2,Rushing Touchdown,Rushawn Baker run for 2 yds for a TD (Jack Berkowitz KICK),2.067936525322223,2024-09-07T22:55:16.000Z
401628595102934002,401628595,4016285956,13,2,6:59,Elon,North Carolina Central,7,0,1,1,1,-1,Rush,Rushawn Baker run for a loss of 1 yard to the NCCU 2,-1.12991525020178,2024-09-07T22:52:50.000Z
401628595102934404,401628595,4016285956,15,2,6:55,Elon,North Carolina Central,7,0,65,0,65,0,Timeout,"Timeout North Carolina Central, clock 06:55",,2024-09-07T22:55:16.000Z
401628595102935203,401628595,4016285957,2,2,6:47,North Carolina Central,Elon,0,14,70,1,10,3,Rush,J'Mari Taylor run for 3 yds to the NCCU 33,-0.3563521541303736,2024-09-07T22:59:17.000Z
401628595102935204,401628595,4016285957,3,2,6:47,North Carolina Central,Elon,0,14,67,2,7,4,Pass Reception,Walker Harris pass complete to Chauncey Spikes for 4 yds to the NCCU 37,-0.1196399820443687,2024-09-07T23:00:16.000Z
401628595102935205,401628595,4016285957,4,2,6:47,North Carolina Central,Elon,0,14,63,3,3,23,Pass Reception,Walker Harris pass complete to Joaquin Davis for 23 yds to the ELON 40 for a 1ST down,2.979729511141745,2024-09-07T23:00:16.000Z
