id,game_id,drive_id,play_number,period,clock,offense,defense,offense_score,defense_score,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa,wallclock
401654665101854001,401654665,4016546651,2,1,14:59,McNeese,Tarleton State,0,0,75,1,10,11,Rush,Joshon Barbie run for 11 yds to the MCN 36 for a 1ST down,0.9305625119459905,2024-08-24T20:23:53.000Z
401654665101857201,401654665,4016546651,3,1,14:27,McNeese,Tarleton State,0,0,64,1,10,11,Rush,Clifton McDowell run for 11 yds to the MCN 47 for a 1ST down,1.0518931742020232,2024-08-24T20:23:53.000Z
401654665101849912,401654665,4016546651,1,1,15:00,Tarleton State,McNeese,0,0,65,0,0,0,Kickoff,Michael James kickoff for 65 yds for a touchback,,2024-08-24T19:36:31.000Z
401654665101864201,401654665,4016546651,4,1,13:57,McNeese,Tarleton State,0,0,53,1,10,3,Fumble Recovery (Opponent),"Clifton McDowell run for a loss of 2 yards to the MCN 48 Clifton McDowell fumbled, recovered by MCN Clifton McDowell C. McDowell return for 3 yds , return for 3 yds to the MCN 48",-2.9047005664266923,2024-08-24T20:23:53.000Z
401654665101864801,401654665,4016546652,1,1,13:51,Tarleton State,McNeese,0,0,48,1,10,9,Pass Reception,Victor Gabalis pass complete to Darius Cooper for 9 yds to the MCN 39,1.037900871084576,2024-08-24T20:23:53.000Z
401654665101887801,401654665,4016546652,5,1,11:21,Tarleton State,McNeese,0,0,36,3,13,0,Pass Incompletion,Victor Gabalis pass incomplete,-0.9683380897150392,2024-08-24T20:23:53.000Z
401654665101888701,401654665,4016546652,6,1,11:12,Tarleton State,McNeese,3,0,36,4,13,53,Field Goal Good,Michael James 53 yd FG GOOD,,2024-08-24T19:44:53.000Z
401654665101867801,401654665,4016546652,2,1,13:21,Tarleton State,McNeese,0,0,39,2,1,6,Rush,Kayvon Britten run for 6 yds to the MCN 33 for a 1ST down,-0.254741808306607,2024-08-24T20:23:53.000Z
401654665101875301,401654665,4016546652,3,1,12:46,Tarleton State,McNeese,0,0,33,1,10,-1,Sack,Victor Gabalis sacked by Masey Lewis for a loss of 1 yard to the MCN 34,-0.7964053957016795,2024-08-24T20:23:53.000Z
401654665101879101,401654665,4016546652,4,1,12:08,Tarleton State,McNeese,0,0,34,2,11,-2,Pass Reception,Victor Gabalis pass complete to Kayvon Britten for a loss of 2 yards to the MCN 36,-1.3361838031744977,2024-08-24T20:23:53.000Z
