id,game_id,drive_id,play_number,period,clock,offense,defense,offense_score,defense_score,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa,wallclock
401628588101849925,401628588,4016285881,7,1,15:00,Rhode Island,Holy Cross,0,0,37,3,8,7,Pass Reception,Devin Farrell pass complete to Tommy Smith for 7 yds to the HC 30,0.4948847558770631,2024-08-31T23:08:29.000Z
401628588101849927,401628588,4016285881,8,1,15:00,Rhode Island,Holy Cross,0,0,30,4,1,4,Rush,Malik Grant run for 4 yds to the HC 26 for a 1ST down,1.305275020997378,2024-08-31T23:08:29.000Z
401628588101849930,401628588,4016285881,9,1,15:00,Rhode Island,Holy Cross,0,0,26,1,10,14,Rush,Malik Grant run for 14 yds to the HC 12 for a 1ST down,0.189907580372255,2024-08-31T23:08:29.000Z
401628588101849932,401628588,4016285881,10,1,15:00,Rhode Island,Holy Cross,0,0,12,1,10,4,Rush,Malik Grant run for 4 yds to the HC 8,-0.016436925799308,2024-08-31T23:08:29.000Z
401628588101849935,401628588,4016285881,11,1,15:00,Rhode Island,Holy Cross,0,0,8,2,6,-2,Rush,Devin Farrell run for a loss of 2 yards to the HC 10,-0.4428937198165525,2024-08-31T23:08:29.000Z
401628588101849936,401628588,4016285881,12,1,15:00,Rhode Island,Holy Cross,0,0,10,3,8,0,Pass Incompletion,Devin Farrell pass incomplete,-0.3972581304738693,2024-08-31T23:08:29.000Z
401628588101909901,401628588,4016285881,13,1,9:00,Rhode Island,Holy Cross,3,0,10,4,8,27,Field Goal Good,Ty Groff 27 yd FG GOOD,,2024-08-31T23:13:51.000Z
401628588101849908,401628588,4016285881,1,1,15:00,Holy Cross,Rhode Island,0,0,65,0,0,0,Kickoff,Daniel Porto kickoff for 62 yds,,2024-08-31T23:03:50.000Z
401628588101849911,401628588,4016285881,2,1,15:00,Rhode Island,Holy Cross,0,0,75,1,10,8,Rush,Devin Farrell run for 8 yds to the URI 33,0.9104368550610653,2024-08-31T23:03:50.000Z
401628588101849914,401628588,4016285881,3,1,15:00,Rhode Island,Holy Cross,0,0,67,2,2,3,Rush,Devin Farrell run for 3 yds to the URI 36 for a 1ST down,0.0201256568849252,2024-08-31T23:08:29.000Z
401628588101849917,401628588,4016285881,4,1,15:00,Rhode Island,Holy Cross,0,0,64,1,10,25,Pass Reception,Devin Farrell pass complete to Marquis Buchanan for 25 yds to the HC 39 for a 1ST down,2.00675405284378,2024-08-31T23:08:29.000Z
