id,game_id,drive_id,play_number,period,clock,offense,defense,offense_score,defense_score,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa,wallclock
401628343101849905,401628343,4016283431,2,1,15:00,Mississippi State,Arizona State,0,0,75,1,10,7,Rush,Keyvone Lee run for 7 yds to the MSST 32,0.604642460086338,2024-09-08T02:41:49.000Z
401628343101849906,401628343,4016283431,3,1,15:00,Mississippi State,Arizona State,0,0,68,2,3,0,Pass Incompletion,Blake Shapen pass incomplete,-0.9937966012014892,2024-09-08T02:41:49.000Z
401628343101849907,401628343,4016283431,4,1,15:00,Mississippi State,Arizona State,0,0,68,3,3,1,Rush,Blake Shapen run for 1 yd to the MSST 33,-0.4317477097664399,2024-09-08T02:41:49.000Z
401628343101849903,401628343,4016283431,1,1,15:00,Arizona State,Mississippi State,0,0,65,1,10,0,Kickoff,Parker Lewis kickoff for 65 yds for a touchback,,2024-09-08T02:41:49.000Z
401628343101865701,401628343,4016283431,5,1,13:42,Mississippi State,Arizona State,0,0,67,4,2,0,Punt,Nick Barr-Mira punt for 46 yds,,2024-09-08T02:43:16.000Z
401628343101865703,401628343,4016283432,1,1,13:42,Arizona State,Mississippi State,0,0,79,1,10,9,Rush,Cam Skattebo run for 9 yds to the ASU 30,1.142259890108818,2024-09-08T02:43:16.000Z
401628343101865704,401628343,4016283432,2,1,13:42,Arizona State,Mississippi State,0,0,70,2,1,3,Rush,Cam Skattebo run for 3 yds to the ASU 33 for a 1ST down,-0.2407817694328109,2024-09-08T02:43:16.000Z
401628343101865705,401628343,4016283432,3,1,13:42,Arizona State,Mississippi State,0,0,67,1,10,13,Pass Reception,Sam Leavitt pass complete to Xavier Guillory for 13 yds to the ASU 46 for a 1ST down,1.2441591314559408,2024-09-08T02:43:16.000Z
401628343101865706,401628343,4016283432,4,1,13:42,Arizona State,Mississippi State,0,0,54,1,10,8,Pass Reception,Sam Leavitt pass complete to Cam Skattebo for 8 yds to the MSST 46,0.9228976525664996,2024-09-08T02:43:16.000Z
401628343101865707,401628343,4016283432,5,1,13:42,Arizona State,Mississippi State,0,0,46,2,2,2,Rush,Kyson Brown run for 2 yds to the MSST 44 for a 1ST down,-0.1508824723913129,2024-09-08T02:43:16.000Z
401628343101865708,401628343,4016283432,6,1,13:42,Arizona State,Mississippi State,0,0,44,1,10,0,Pass Incompletion,Sam Leavitt pass incomplete,-0.9690270974076257,2024-09-08T02:46:16.000Z
401628343101865709,401628343,4016283432,7,1,13:42,Arizona State,Mississippi State,0,0,44,2,10,12,Rush,Cam Skattebo run for 12 yds to the MSST 32 for a 1ST down,1.5103900293286845,2024-09-08T02:46:16.000Z
401628343101865710,401628343,4016283432,8,1,13:42,Arizona State,Mississippi State,0,0,32,1,10,0,Pass Incompletion,Sam Leavitt pass incomplete,-0.6082596672078662,2024-09-08T02:46:16.000Z
401628343101865711,401628343,4016283432,9,1,13:42,Arizona State,Mississippi State,0,0,32,2,10,15,Rush,Sam Leavitt run for 15 yds to the MSST 17 for a 1ST down,0.8998759900124146,2024-09-08T02:46:16.000Z
401628343101906801,401628343,4016283432,10,1,9:31,Arizona State,Mississippi State,7,0,17,1,10,17,Rushing Touchdown,Sam Leavitt run for 17 yds for a TD (Ian Hershey KICK),2.579903102784414,2024-09-08T02:41:49.000Z
401628343101906803,401628343,4016283433,1,1,9:31,Arizona State,Mississippi State,7,0,65,1,10,0,Kickoff,Parker Lewis kickoff for 65 yds for a touchback,,2024-09-08T02:53:21.000Z
401628343101906807,401628343,4016283433,4,1,9:31,Mississippi State,Arizona State,0,7,71,3,6,-10,Penalty,"Mississippi State Penalty, Offensive Holding (Yards) declined",,2024-09-08T02:53:21.000Z
401628343101918201,401628343,4016283433,5,1,8:17,Mississippi State,Arizona State,0,7,81,4,16,0,Punt,"Nick Barr-Mira punt for 51 yds, fair catch by Melquan Stovall at the ASU 30",,2024-09-08T02:41:49.000Z
401628343101906805,401628343,4016283433,2,1,9:31,Mississippi State,Arizona State,0,7,75,1,10,6,Pass Reception,Blake Shapen pass complete to Kevin Coleman Jr. for 6 yds to the MSST 31,0.3333748010525683,2024-09-08T02:53:21.000Z
401628343101906806,401628343,4016283433,3,1,9:31,Mississippi State,Arizona State,0,7,69,2,4,2,Rush,Davon Booth run for 2 yds to the MSST 29,-0.5529622556781773,2024-09-08T02:53:21.000Z
401628343101918213,401628343,4016283434,11,1,8:17,Arizona State,Mississippi State,7,0,10,3,8,-5,Penalty,"PENALTY ASU False Start (Iheanachor,Max) 5 yards from MSU10 to MSU15. NO PLAY.",,2024-09-08T02:56:27.000Z
401628343101918216,401628343,4016283434,13,1,8:17,Arizona State,Mississippi State,7,0,5,4,3,-5,Penalty,PENALTY ASU Delay Of Game 5 yards from MSU05 to MSU10. NO PLAY.,,2024-09-08T02:56:27.000Z
401628343101979901,401628343,4016283434,14,1,2:00,Arizona State,Mississippi State,10,0,10,4,8,27,Field Goal Good,Ian Hershey 27 yd FG GOOD,,2024-09-08T02:41:49.000Z
401628343101918203,401628343,4016283434,1,1,8:17,Arizona State,Mississippi State,7,0,70,1,10,14,Rush,Cam Skattebo run for 14 yds to the ASU 44 for a 1ST down,1.3226037375250375,2024-09-08T02:56:27.000Z
401628343101918204,401628343,4016283434,2,1,8:17,Arizona State,Mississippi State,7,0,56,1,10,8,Rush,Cam Skattebo run for 8 yds to the MSST 48,0.960072550113445,2024-09-08T02:56:27.000Z
401628343101918205,401628343,4016283434,3,1,8:17,Arizona State,Mississippi State,7,0,48,2,2,3,Rush,Cam Skattebo run for 3 yds to the MSST 45 for a 1ST down,-0.066403853801207,2024-09-08T02:56:27.000Z
