id,game_id,drive_id,play_number,period,clock,offense,defense,offense_score,defense_score,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa,wallclock
401628461101857701,401628461,4016284611,3,1,14:22,Western Michigan,Wisconsin,0,0,73,2,8,0,Pass Incompletion,Hayden Wolff pass incomplete,-0.4788075161366292,2024-08-31T01:07:54.000Z
401628461101854501,401628461,4016284611,2,1,14:54,Western Michigan,Wisconsin,0,0,75,1,10,2,Rush,Jalen Buckley run for 2 yds to the WMU 27,-0.45260367932203766,2024-08-31T01:07:54.000Z
401628461101858301,401628461,4016284611,4,1,14:16,Western Michigan,Wisconsin,0,0,73,3,8,1,Rush,Hayden Wolff run for 1 yd to the WMU 28,-0.18966675829774982,2024-08-31T01:07:54.000Z
401628461101866201,401628461,4016284611,5,1,13:37,Western Michigan,Wisconsin,0,0,72,4,7,0,Punt,"Ryan Millmore punt for 53 yds, downed at the WIS 19",,2024-08-31T01:07:54.000Z
401628461101849903,401628461,4016284611,1,1,15:00,Wisconsin,Western Michigan,0,0,65,0,0,0,Kickoff,Gavin Lahm kickoff for 65 yds for a touchback,,2024-08-31T01:07:54.000Z
401628461101866901,401628461,4016284612,1,1,13:30,Wisconsin,Western Michigan,0,0,81,1,10,1,Rush,Tawee Walker run for 1 yd to the WIS 20,-0.4473552582060227,2024-08-31T01:07:54.000Z
401628461101874001,401628461,4016284612,2,1,12:59,Wisconsin,Western Michigan,0,0,80,2,9,8,Pass Reception,Tyler Van Dyke pass complete to Tawee Walker for 8 yds to the WIS 28,0.4443912542607267,2024-08-31T01:07:54.000Z
401628461101876701,401628461,4016284612,3,1,12:32,Wisconsin,Western Michigan,0,0,72,3,1,5,Rush,Tawee Walker run for 5 yds to the WIS 33 for a 1ST down,1.0125268558069438,2024-08-31T01:07:54.000Z
401628461101926201,401628461,4016284612,14,1,7:37,Wisconsin,Western Michigan,0,0,19,2,10,1,Rush,Chez Mellusi run for 1 yd to the WMU 18,-0.334562214271012,2024-08-31T01:07:54.000Z
401628461101934001,401628461,4016284612,15,1,6:59,Wisconsin,Western Michigan,0,0,18,3,9,0,Pass Incompletion,Tyler Van Dyke pass incomplete,-0.639420536387652,2024-08-31T01:17:19.000Z
401628461101934201,401628461,4016284612,16,1,6:57,Wisconsin,Western Michigan,0,0,18,4,9,36,Field Goal Missed,Nathanial Vakos 36 yd FG MISSED,,2024-08-31T01:18:16.000Z
401628461101878301,401628461,4016284612,4,1,12:16,Wisconsin,Western Michigan,0,0,67,1,10,3,Pass Reception,Tyler Van Dyke pass complete to Tawee Walker for 3 yds to the WIS 36,-0.3884871214664028,2024-08-31T01:07:54.000Z
401628461101886701,401628461,4016284612,5,1,11:32,Wisconsin,Western Michigan,0,0,64,2,7,3,Rush,Chez Mellusi run for 3 yds to the WIS 39,-0.335479484856088,2024-08-31T01:07:54.000Z
401628461101894601,401628461,4016284612,6,1,10:53,Wisconsin,Western Michigan,0,0,61,3,4,3,Pass Reception,Tyler Van Dyke pass complete to Chez Mellusi for 3 yds to the WIS 42,-0.279705080634109,2024-08-31T01:07:54.000Z
401628461101898101,401628461,4016284612,7,1,10:18,Wisconsin,Western Michigan,0,0,58,4,1,4,Rush,Tawee Walker run for 4 yds to the WIS 46 for a 1ST down,2.2478308184125404,2024-08-31T01:07:54.000Z
401628461101905801,401628461,4016284612,8,1,9:41,Wisconsin,Western Michigan,0,0,54,1,10,5,Rush,Tyler Van Dyke run for 5 yds to the WMU 49,0.1068990350586356,2024-08-31T01:07:54.000Z
401628461101908201,401628461,4016284612,9,1,9:17,Wisconsin,Western Michigan,0,0,49,2,5,0,Pass Incompletion,Tyler Van Dyke pass incomplete,-1.192809583864598,2024-08-31T01:14:03.000Z
401628461101908601,401628461,4016284612,10,1,9:13,Wisconsin,Western Michigan,0,0,49,3,5,10,Pass Reception,Tyler Van Dyke pass complete to Bryson Green for 10 yds to the WMU 39 for a 1ST down,2.1303695315596194,2024-08-31T01:07:54.000Z
401628461101914801,401628461,4016284612,11,1,8:51,Wisconsin,Western Michigan,0,0,39,1,10,6,Rush,Tawee Walker run for 6 yds to the WMU 33,0.258293699621337,2024-08-31T01:07:54.000Z
401628461101918101,401628461,4016284612,12,1,8:18,Wisconsin,Western Michigan,0,0,33,2,4,14,Pass Reception,Tyler Van Dyke pass complete to Tucker Ashcraft for 14 yds to the WMU 19 for a 1ST down,0.277697226672691,2024-08-31T01:07:54.000Z
401628461101925701,401628461,4016284612,13,1,7:42,Wisconsin,Western Michigan,0,0,19,1,10,0,Pass Incompletion,Tyler Van Dyke pass incomplete,-0.362321296557512,2024-08-31T01:16:12.000Z
401628461101934801,401628461,4016284613,1,1,6:51,Western Michigan,Wisconsin,0,0,80,1,10,9,Rush,Jalen Buckley run for 9 yds to the WMU 29,1.1127415828278746,2024-08-31T01:07:54.000Z
401628461101938001,401628461,4016284613,2,1,6:19,Western Michigan,Wisconsin,0,0,71,2,1,6,Rush,Jalen Buckley run for 6 yds to the WMU 35 for a 1ST down,0.0305992020858934,2024-08-31T01:07:54.000Z
401628461101945101,401628461,4016284613,3,1,5:48,Western Michigan,Wisconsin,0,0,65,1,10,8,Rush,Jalen Buckley run for 8 yds to the WMU 43,1.037188716394402,2024-08-31T01:07:54.000Z
401628461101946701,401628461,4016284613,4,1,5:32,Western Michigan,Wisconsin,0,0,57,2,2,3,Rush,Zahir Abdus-Salaam run for 3 yds to the WMU 46 for a 1ST down,0.0206307566117248,2024-08-31T01:07:54.000Z
401628461101956101,401628461,4016284613,5,1,4:38,Western Michigan,Wisconsin,0,0,54,1,10,2,Rush,Jaden Nixon run for 2 yds to the WMU 48,-0.6735165476975664,2024-08-31T01:07:54.000Z
401628461101959201,401628461,4016284613,6,1,4:07,Western Michigan,Wisconsin,0,0,52,2,8,2,Pass Reception,Hayden Wolff pass complete to Chris Toudle for 2 yds to the 50 yard line,-0.6454782456475368,2024-08-31T01:07:54.000Z
401628461101967401,401628461,4016284613,7,1,3:25,Western Michigan,Wisconsin,0,0,50,3,6,0,Pass Incompletion,Hayden Wolff pass incomplete,-0.8898142292343482,2024-08-31T01:24:25.000Z
401628461101968001,401628461,4016284613,8,1,3:19,Western Michigan,Wisconsin,0,0,50,4,6,0,Punt,"Ryan Millmore punt for 43 yds, downed at the WIS 7",,2024-08-31T01:07:54.000Z
401628461101968202,401628461,4016284614,1,1,3:17,Wisconsin,Western Michigan,0,0,93,1,10,8,Rush,Chez Mellusi run for 8 yds to the WIS 15,0.53370326760328,2024-08-31T01:28:54.000Z
401628461101975201,401628461,4016284614,2,1,2:47,Wisconsin,Western Michigan,0,0,85,2,2,0,Pass Incompletion,Tyler Van Dyke pass incomplete,-0.6081179149316558,2024-08-31T01:29:40.000Z
