id,game_id,drive_id,play_number,period,clock,offense,defense,offense_score,defense_score,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa,wallclock
401634306101849902,401634306,4016343061,1,1,15:00,Florida State,Boston College,0,0,65,1,10,0,Kickoff,Ryan Fitzgerald kickoff for 65 yds for a touchback,,2024-09-02T23:35:27.000Z
401634306101854401,401634306,4016343061,2,1,14:55,Boston College,Florida State,0,0,75,1,10,0,Rush,Kye Robichaux run for no gain to the BC 25,-0.7029700220436519,2024-09-02T23:37:04.000Z
401634306101856901,401634306,4016343061,3,1,14:30,Boston College,Florida State,0,0,75,2,10,5,Rush,Kye Robichaux run for 5 yds to the BC 30,0.04378266651122598,2024-09-02T23:37:45.000Z
401634306101859901,401634306,4016343061,4,1,14:00,Boston College,Florida State,0,0,70,3,5,11,Rush,Thomas Castellanos run for 11 yds to the BC 41 for a 1ST down,2.07793012545532,2024-09-02T23:38:19.000Z
401634306101866901,401634306,4016343061,5,1,13:30,Boston College,Florida State,0,0,59,1,10,4,Rush,Treshaun Ward run for 4 yds to the BC 45,-0.1673002614345122,2024-09-02T23:38:52.000Z
401634306101868401,401634306,4016343061,6,1,13:15,Boston College,Florida State,0,0,55,2,6,10,Pass Reception,Thomas Castellanos pass complete to Reed Harris for 10 yds to the FSU 45 for a 1ST down,1.3497985261658716,2024-09-02T23:39:36.000Z
401634306101869901,401634306,4016343061,7,1,13:00,Boston College,Florida State,0,0,45,1,10,-5,Pass Reception,Thomas Castellanos pass complete to Jayden McGowan for a loss of 5 yards to the 50 yard line,-2.1179584248948107,2024-09-02T23:40:20.000Z
401634306101876901,401634306,4016343061,8,1,12:30,Boston College,Florida State,0,0,50,2,15,10,Pass Reception,Thomas Castellanos pass complete to Kamari Morales for 10 yds to the FSU 40,1.1924292165144657,2024-09-02T23:41:03.000Z
401634306101877401,401634306,4016343061,9,1,12:25,Boston College,Florida State,0,0,40,3,5,0,Pass Incompletion,Thomas Castellanos pass incomplete to Treshaun Ward,-1.0838891412979983,2024-09-02T23:41:33.000Z
401634306101899401,401634306,4016343061,10,1,10:05,Boston College,Florida State,0,0,40,4,5,0,Punt,Sam Candotti punt for 40 yds for a touchback,,2024-09-02T23:42:56.000Z
401634306101899901,401634306,4016343062,1,1,10:00,Florida State,Boston College,0,0,80,1,10,0,Pass Incompletion,DJ Uiagalelei pass incomplete,-0.5586693796725282,2024-09-02T23:46:07.000Z
401634306101905401,401634306,4016343062,2,1,9:45,Florida State,Boston College,0,0,80,2,10,4,Pass Reception,DJ Uiagalelei pass complete to Roydell Williams for 4 yds to the FSU 24,-0.04461511769139115,2024-09-02T23:46:35.000Z
401634306101906901,401634306,4016343062,3,1,9:30,Florida State,Boston College,0,0,76,3,6,0,Pass Incompletion,DJ Uiagalelei pass incomplete to Lawrance Toafili,-0.2368142460140934,2024-09-02T23:47:10.000Z
401634306101908501,401634306,4016343062,4,1,9:14,Florida State,Boston College,0,0,76,4,6,0,Punt,"Alex Mastromanno punt for 47 yds, fair catch by Jayden McGowan at the BC 29",,2024-09-02T23:50:46.000Z
401634306101999902,401634306,4016343063,14,1,0:00,Boston College,Florida State,0,0,9,0,7,5,End Period,End of 1st Quarter,,2024-09-03T00:04:54.000Z
401634306101909901,401634306,4016343063,1,1,9:00,Boston College,Florida State,0,0,71,1,10,1,Rush,Kye Robichaux run for 1 yd to the BC 30,-0.6903738736488947,2024-09-02T23:51:44.000Z
401634306101915401,401634306,4016343063,2,1,8:45,Boston College,Florida State,0,0,70,2,9,4,Rush,Treshaun Ward run for 4 yds to the BC 34,-0.0906680083893345,2024-09-02T23:52:10.000Z
401634306101916901,401634306,4016343063,3,1,8:30,Boston College,Florida State,0,0,66,3,5,5,Pass Reception,Thomas Castellanos pass complete to Jayden McGowan for 5 yds to the BC 39 for a 1ST down,1.7016427183283278,2024-09-02T23:53:08.000Z
401634306101918401,401634306,4016343063,4,1,8:15,Boston College,Florida State,0,0,61,1,10,8,Rush,Kye Robichaux run for 8 yds to the BC 47,1.0249684172285607,2024-09-02T23:53:40.000Z
401634306101946101,401634306,4016343063,5,1,5:38,Boston College,Florida State,0,0,53,2,2,5,Fumble Recovery (Own),"Kye Robichaux run for 5 yds to the FSU 37 Kye Robichaux fumbled, recovered by BC Reed Harris for a 1ST down , return for 11 yds to the FSU 37 for a 1ST down",0.1438137829563483,2024-09-02T23:58:53.000Z
401634306101948401,401634306,4016343063,6,1,5:15,Boston College,Florida State,0,0,37,1,10,5,Rush,Treshaun Ward run for 5 yds to the FSU 32,0.0836657996975912,2024-09-02T23:59:30.000Z
401634306101949901,401634306,4016343063,7,1,5:00,Boston College,Florida State,0,0,32,2,5,3,Rush,Treshaun Ward run for 3 yds to the FSU 29,-0.243300391812356,2024-09-02T23:59:43.000Z
401634306101956901,401634306,4016343063,8,1,4:30,Boston College,Florida State,0,0,29,3,2,6,Pass Reception,Thomas Castellanos pass complete to Treshaun Ward for 6 yds to the FSU 23 for a 1ST down,0.5470655455202795,2024-09-03T00:00:58.000Z
401634306101958401,401634306,4016343063,9,1,3:50,Boston College,Florida State,0,0,23,1,10,1,Rush,Kye Robichaux run for 1 yd to the FSU 22,-0.3213826573966115,2024-09-03T00:01:12.000Z
