id,game_id,drive_id,play_number,period,clock,offense,defense,offense_score,defense_score,yards_to_goal,down,distance,yards_gained,play_type,play_text,ppa,wallclock
-1214,401643783,-163,1,1,15:00,Texas State,UTSA,0,0,35,0,0,65,Kickoff,T.Sandell kicks 65 yards from UTSA 35 to the TXST End Zone. Touchback.,,
-1215,401643783,-163,2,1,15:00,Texas State,UTSA,0,0,75,1,10,2,Pass Reception,J.McCloud pass complete. Catch made by K.Fox for 2 yards. Tackled by E.Davison at TXST 27.,-0.45260367932203766,
-1216,401643783,-163,3,1,14:36,Texas State,UTSA,0,0,73,2,8,0,Rush,I.Mahdi rushed for 0 yards. Tackled by O.Pewee; K.Robinson at TXST 27.,-0.4788075161366292,
-1217,401643783,-163,4,1,14:05,Texas State,UTSA,0,0,73,3,8,0,Interception,J.McCloud pass INTERCEPTED at TXST 40. Intercepted by Z.Morris at TXST 40. Tackled by TXST at TXST 40.,0.009166315179988338,
-1221,401643783,-164,4,1,12:53,UTSA,Texas State,0,0,38,4,8,0,Timeout,Timeout #1 by TXST.,,
-1218,401643783,-164,1,1,13:58,UTSA,Texas State,0,0,40,1,10,6,Rush,R.Henry rushed for 6 yards. Tackled by K.Culp at TXST 34.,0.265204892676964,
-1222,401643783,-164,5,1,12:53,UTSA,Texas State,0,0,38,4,8,5,Pass Reception,O.McCown pass complete. Catch made by D.McCuin for 5 yards. Tackled by TXST at TXST 33.,-1.3463994894626996,
-1220,401643783,-164,3,1,13:00,UTSA,Texas State,0,0,38,3,8,0,Pass Incompletion,O.McCown steps back to pass. Pass incomplete intended for O.Cardenas.,-1.0393537023076664,
-1219,401643783,-164,2,1,13:29,UTSA,Texas State,0,0,34,2,4,-4,Pass Incompletion,O.McCown pass complete. Catch made by R.Henry for -4 yards. Tackled by TXST at TXST 38.,-1.690402556969257,
-1230,401643783,-165,8,1,9:43,Texas State,UTSA,0,0,9,4,6,4,Penalty,"PENALTY on UTSA-UTSA, Disqualification / Defense, 4 yards, accepted. No Play.",,
-1231,401643783,-165,9,1,9:34,Texas State,UTSA,0,0,5,4,2,1,Rush,D.Hankins rushed for 1 yards. Tackled by UTSA at UTSA 4.,-4.092055836912595,
-1229,401643783,-165,7,1,9:48,Texas State,UTSA,0,0,9,3,6,0,Pass Incompletion,J.McCloud steps back to pass. Pass incomplete intended for J.Williams.,-0.355186088092285,
-1228,401643783,-165,6,1,10:25,Texas State,UTSA,0,0,11,2,8,2,Rush,T.Burgess rushed for 2 yards. Tackled by K.Robinson at UTSA 9.,-0.163127244864301,
-1227,401643783,-165,5,1,11:07,Texas State,UTSA,0,0,13,1,10,2,Rush,T.Burgess rushed for 2 yards. Tackled by A.Simon at UTSA 11.,-0.17192441059024,
